Tabela,Data,Kurs średni,Zmiana
45/A/NBP/2019,2019-03-05,0.4838,0.21
44/A/NBP/2019,2019-03-04,0.4828,-0.06
43/A/NBP/2019,2019-03-01,0.4831,0.19
42/A/NBP/2019,2019-02-28,0.4822,-0.1
41/A/NBP/2019,2019-02-27,0.4827,-0.62
40/A/NBP/2019,2019-02-26,0.4857,-0.31
39/A/NBP/2019,2019-02-25,0.4872,-0.06
38/A/NBP/2019,2019-02-22,0.4875,0.04
37/A/NBP/2019,2019-02-21,0.4873,0.06
36/A/NBP/2019,2019-02-20,0.487,-0.23
35/A/NBP/2019,2019-02-19,0.4881,0.06
34/A/NBP/2019,2019-02-18,0.4878,-0.1
33/A/NBP/2019,2019-02-15,0.4883,-0.51
32/A/NBP/2019,2019-02-14,0.4908,0.68
31/A/NBP/2019,2019-02-13,0.4875,-0.31
30/A/NBP/2019,2019-02-12,0.489,0.47
29/A/NBP/2019,2019-02-11,0.4867,0.39
28/A/NBP/2019,2019-02-08,0.4848,0.31
27/A/NBP/2019,2019-02-07,0.4833,0.58
26/A/NBP/2019,2019-02-06,0.4805,0.44
25/A/NBP/2019,2019-02-05,0.4784,0.4
24/A/NBP/2019,2019-02-04,0.4765,0.42
23/A/NBP/2019,2019-02-01,0.4745,-0.11
22/A/NBP/2019,2019-01-31,0.475,-0.86
21/A/NBP/2019,2019-01-30,0.4791,0.1
20/A/NBP/2019,2019-01-29,0.4786,-0.1
19/A/NBP/2019,2019-01-28,0.4791,-0.81
18/A/NBP/2019,2019-01-25,0.483,0.15
17/A/NBP/2019,2019-01-24,0.4823,0.25
16/A/NBP/2019,2019-01-23,0.4811,0.04
15/A/NBP/2019,2019-01-22,0.4809,-0.06
14/A/NBP/2019,2019-01-21,0.4812,0.15
13/A/NBP/2019,2019-01-18,0.4805,0.15
12/A/NBP/2019,2019-01-17,0.4798,0.04
11/A/NBP/2019,2019-01-16,0.4796,0.21
10/A/NBP/2019,2019-01-15,0.4786,0.21
9/A/NBP/2019,2019-01-14,0.4776,0.44
8/A/NBP/2019,2019-01-11,0.4755,-0.23
7/A/NBP/2019,2019-01-10,0.4766,-0.4
