Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,3.7823,-0.14
54/A/NBP/2019,2019-03-18,3.7876,-0.36
53/A/NBP/2019,2019-03-15,3.8014,-0.01
52/A/NBP/2019,2019-03-14,3.8018,-0.15
51/A/NBP/2019,2019-03-13,3.8077,-0.1
50/A/NBP/2019,2019-03-12,3.8116,-0.22
49/A/NBP/2019,2019-03-11,3.8199,-0.55
48/A/NBP/2019,2019-03-08,3.8409,0.98
47/A/NBP/2019,2019-03-07,3.8038,0
46/A/NBP/2019,2019-03-06,3.8038,0.16
45/A/NBP/2019,2019-03-05,3.7977,0.22
44/A/NBP/2019,2019-03-04,3.7893,-0.07
43/A/NBP/2019,2019-03-01,3.792,0.18
42/A/NBP/2019,2019-02-28,3.7853,-0.09
41/A/NBP/2019,2019-02-27,3.7886,-0.62
40/A/NBP/2019,2019-02-26,3.8124,-0.31
39/A/NBP/2019,2019-02-25,3.8241,0
38/A/NBP/2019,2019-02-22,3.8242,-0.01
37/A/NBP/2019,2019-02-21,3.8247,0.07
36/A/NBP/2019,2019-02-20,3.8221,-0.23
35/A/NBP/2019,2019-02-19,3.8311,0.07
34/A/NBP/2019,2019-02-18,3.8286,-0.1
33/A/NBP/2019,2019-02-15,3.8326,-0.49
32/A/NBP/2019,2019-02-14,3.8516,0.67
31/A/NBP/2019,2019-02-13,3.8261,-0.31
30/A/NBP/2019,2019-02-12,3.838,0.5
29/A/NBP/2019,2019-02-11,3.819,0.39
28/A/NBP/2019,2019-02-08,3.804,0.32
27/A/NBP/2019,2019-02-07,3.7919,0.56
26/A/NBP/2019,2019-02-06,3.7706,0.44
25/A/NBP/2019,2019-02-05,3.7542,0.36
24/A/NBP/2019,2019-02-04,3.7408,0.44
23/A/NBP/2019,2019-02-01,3.7243,-0.08
22/A/NBP/2019,2019-01-31,3.7271,-0.81
21/A/NBP/2019,2019-01-30,3.7577,0.04
20/A/NBP/2019,2019-01-29,3.7563,-0.08
19/A/NBP/2019,2019-01-28,3.7592,-0.79
18/A/NBP/2019,2019-01-25,3.7893,0.13
17/A/NBP/2019,2019-01-24,3.7844,0.26
16/A/NBP/2019,2019-01-23,3.7747,0.05
15/A/NBP/2019,2019-01-22,3.7727,-0.06
14/A/NBP/2019,2019-01-21,3.7751,0.15
