Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,4.294,-0.12
54/A/NBP/2019,2019-03-18,4.2993,-0.1
53/A/NBP/2019,2019-03-15,4.3037,0.05
52/A/NBP/2019,2019-03-14,4.3015,0.02
51/A/NBP/2019,2019-03-13,4.3006,0.07
50/A/NBP/2019,2019-03-12,4.2976,-0.02
49/A/NBP/2019,2019-03-11,4.2983,-0.2
48/A/NBP/2019,2019-03-08,4.3068,0.11
47/A/NBP/2019,2019-03-07,4.3019,0.06
46/A/NBP/2019,2019-03-06,4.2992,-0.06
45/A/NBP/2019,2019-03-05,4.3018,0.08
44/A/NBP/2019,2019-03-04,4.2984,-0.22
43/A/NBP/2019,2019-03-01,4.3079,-0.1
42/A/NBP/2019,2019-02-28,4.312,-0.12
41/A/NBP/2019,2019-02-27,4.3173,-0.38
40/A/NBP/2019,2019-02-26,4.3338,-0.15
39/A/NBP/2019,2019-02-25,4.3402,0.03
38/A/NBP/2019,2019-02-22,4.3387,0.15
37/A/NBP/2019,2019-02-21,4.3322,-0.11
36/A/NBP/2019,2019-02-20,4.3371,0.16
35/A/NBP/2019,2019-02-19,4.3303,-0.03
34/A/NBP/2019,2019-02-18,4.3317,0.17
33/A/NBP/2019,2019-02-15,4.3243,-0.35
32/A/NBP/2019,2019-02-14,4.3394,0.19
31/A/NBP/2019,2019-02-13,4.3312,0.1
30/A/NBP/2019,2019-02-12,4.3268,0.22
29/A/NBP/2019,2019-02-11,4.3172,0.21
28/A/NBP/2019,2019-02-08,4.3082,0.15
27/A/NBP/2019,2019-02-07,4.3019,0.19
26/A/NBP/2019,2019-02-06,4.2936,0.16
25/A/NBP/2019,2019-02-05,4.2869,0.13
24/A/NBP/2019,2019-02-04,4.2813,0.25
23/A/NBP/2019,2019-02-01,4.2706,-0.22
22/A/NBP/2019,2019-01-31,4.2802,-0.35
21/A/NBP/2019,2019-01-30,4.2952,-0.05
20/A/NBP/2019,2019-01-29,4.2974,0.21
19/A/NBP/2019,2019-01-28,4.2885,-0.12
18/A/NBP/2019,2019-01-25,4.2935,-0.02
17/A/NBP/2019,2019-01-24,4.2942,0.17
16/A/NBP/2019,2019-01-23,4.2867,0.01
15/A/NBP/2019,2019-01-22,4.2862,-0.15
14/A/NBP/2019,2019-01-21,4.2928,-0.08
13/A/NBP/2019,2019-01-18,4.2964,0.21
12/A/NBP/2019,2019-01-17,4.2875,-0.13
11/A/NBP/2019,2019-01-16,4.2929,0.02
10/A/NBP/2019,2019-01-15,4.2922,-0.03
9/A/NBP/2019,2019-01-14,4.2936,-0.05
8/A/NBP/2019,2019-01-11,4.2957,-0.23
7/A/NBP/2019,2019-01-10,4.3055,0.15
6/A/NBP/2019,2019-01-09,4.2989,-0.06
5/A/NBP/2019,2019-01-08,4.3013,0.06
4/A/NBP/2019,2019-01-07,4.2989,-0.07
3/A/NBP/2019,2019-01-04,4.3018,-0.03
2/A/NBP/2019,2019-01-03,4.303,0.03
1/A/NBP/2019,2019-01-02,4.3016,0.04
252/A/NBP/2018,2018-12-31,4.3,0.07
251/A/NBP/2018,2018-12-28,4.2969,0.25
250/A/NBP/2018,2018-12-27,4.286,0.07
249/A/NBP/2018,2018-12-24,4.2832,-0.13
248/A/NBP/2018,2018-12-21,4.2889,0.09
247/A/NBP/2018,2018-12-20,4.2849,0.01
246/A/NBP/2018,2018-12-19,4.2846,-0.02
245/A/NBP/2018,2018-12-18,4.2853,-0.12
244/A/NBP/2018,2018-12-17,4.2906,-0.27
243/A/NBP/2018,2018-12-14,4.3021,0.2
242/A/NBP/2018,2018-12-13,4.2937,-0.13
