Tabela,Data,Kurs,Zmiana
55/A/NBP/2019,2019-03-19,3.7828,-0.03
54/A/NBP/2019,2019-03-18,3.7838,-0.07
53/A/NBP/2019,2019-03-15,3.7863,0.02
52/A/NBP/2019,2019-03-14,3.7854,0.01
51/A/NBP/2019,2019-03-13,3.7852,0.1
50/A/NBP/2019,2019-03-12,3.7813,-0.23
49/A/NBP/2019,2019-03-11,3.7902,-0.34
48/A/NBP/2019,2019-03-08,3.8031,0.43
47/A/NBP/2019,2019-03-07,3.7867,0.06
46/A/NBP/2019,2019-03-06,3.7845,-0.25
45/A/NBP/2019,2019-03-05,3.794,0.22
44/A/NBP/2019,2019-03-04,3.7856,-0.13
43/A/NBP/2019,2019-03-01,3.7907,-0.28
42/A/NBP/2019,2019-02-28,3.8013,0.03
41/A/NBP/2019,2019-02-27,3.8003,-0.37
40/A/NBP/2019,2019-02-26,3.8145,-0.32
39/A/NBP/2019,2019-02-25,3.8267,0.11
38/A/NBP/2019,2019-02-22,3.8225,0.14
37/A/NBP/2019,2019-02-21,3.8171,-0.05
36/A/NBP/2019,2019-02-20,3.819,0.13
35/A/NBP/2019,2019-02-19,3.8141,-0.02
34/A/NBP/2019,2019-02-18,3.815,0.18
33/A/NBP/2019,2019-02-15,3.8081,-0.26
32/A/NBP/2019,2019-02-14,3.8182,0.4
31/A/NBP/2019,2019-02-13,3.8031,-0.16
30/A/NBP/2019,2019-02-12,3.8093,0.03
29/A/NBP/2019,2019-02-11,3.8082,0.33
28/A/NBP/2019,2019-02-08,3.7956,0.38
27/A/NBP/2019,2019-02-07,3.7814,0.36
26/A/NBP/2019,2019-02-06,3.768,0.43
25/A/NBP/2019,2019-02-05,3.7519,0.02
24/A/NBP/2019,2019-02-04,3.7511,0.01
23/A/NBP/2019,2019-02-01,3.7509,-0.03
22/A/NBP/2019,2019-01-31,3.7521,-0.54
21/A/NBP/2019,2019-01-30,3.7725,-0.36
20/A/NBP/2019,2019-01-29,3.7861,-0.09
19/A/NBP/2019,2019-01-28,3.7896,-0.39
18/A/NBP/2019,2019-01-25,3.8044,-0.11
17/A/NBP/2019,2019-01-24,3.8084,0.71
16/A/NBP/2019,2019-01-23,3.7817,-0.06
15/A/NBP/2019,2019-01-22,3.7839,-0.01
14/A/NBP/2019,2019-01-21,3.7844,-0.19
