Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,3.3978,0.01
54/A/NBP/2019,2019-03-18,3.3973,-0.21
53/A/NBP/2019,2019-03-15,3.4044,0.04
52/A/NBP/2019,2019-03-14,3.403,-0.5
51/A/NBP/2019,2019-03-13,3.4201,-0.06
50/A/NBP/2019,2019-03-12,3.4223,-0.35
49/A/NBP/2019,2019-03-11,3.4344,-0.66
48/A/NBP/2019,2019-03-08,3.4571,1.52
47/A/NBP/2019,2019-03-07,3.4052,0.14
46/A/NBP/2019,2019-03-06,3.4006,0.26
45/A/NBP/2019,2019-03-05,3.3918,0.11
44/A/NBP/2019,2019-03-04,3.388,-0.01
43/A/NBP/2019,2019-03-01,3.3884,-0.83
42/A/NBP/2019,2019-02-28,3.4167,-0.41
41/A/NBP/2019,2019-02-27,3.4309,-0.25
40/A/NBP/2019,2019-02-26,3.4394,-0.44
39/A/NBP/2019,2019-02-25,3.4547,0.08
38/A/NBP/2019,2019-02-22,3.4518,-0.08
37/A/NBP/2019,2019-02-21,3.4547,0.13
36/A/NBP/2019,2019-02-20,3.4501,-0.23
35/A/NBP/2019,2019-02-19,3.4582,-0.13
34/A/NBP/2019,2019-02-18,3.4627,-0.24
33/A/NBP/2019,2019-02-15,3.4712,0.03
32/A/NBP/2019,2019-02-14,3.47,0.39
31/A/NBP/2019,2019-02-13,3.4564,-0.43
30/A/NBP/2019,2019-02-12,3.4714,0.2
29/A/NBP/2019,2019-02-11,3.4643,0.04
28/A/NBP/2019,2019-02-08,3.4628,0.48
27/A/NBP/2019,2019-02-07,3.4463,0.24
26/A/NBP/2019,2019-02-06,3.4379,0.74
25/A/NBP/2019,2019-02-05,3.4127,0.25
24/A/NBP/2019,2019-02-04,3.4043,-0.44
23/A/NBP/2019,2019-02-01,3.4195,-0.39
22/A/NBP/2019,2019-01-31,3.4329,-0.09
21/A/NBP/2019,2019-01-30,3.4359,0.12
20/A/NBP/2019,2019-01-29,3.4317,-0.13
19/A/NBP/2019,2019-01-28,3.4362,-0.42
18/A/NBP/2019,2019-01-25,3.4507,0.07
17/A/NBP/2019,2019-01-24,3.4482,0.18
16/A/NBP/2019,2019-01-23,3.442,-0.13
15/A/NBP/2019,2019-01-22,3.4466,0.13
14/A/NBP/2019,2019-01-21,3.4421,0.06
13/A/NBP/2019,2019-01-18,3.4401,-0.6
12/A/NBP/2019,2019-01-17,3.4607,-0.07
11/A/NBP/2019,2019-01-16,3.4631,0.16
10/A/NBP/2019,2019-01-15,3.4577,-0.16
9/A/NBP/2019,2019-01-14,3.4633,0.63
8/A/NBP/2019,2019-01-11,3.4415,-0.41
7/A/NBP/2019,2019-01-10,3.4556,0.33
6/A/NBP/2019,2019-01-09,3.4441,-0.16
5/A/NBP/2019,2019-01-08,3.4497,-0.66
4/A/NBP/2019,2019-01-07,3.4727,-0.55
3/A/NBP/2019,2019-01-04,3.4919,-0.61
2/A/NBP/2019,2019-01-03,3.5132,1.76
1/A/NBP/2019,2019-01-02,3.4523,1.17
252/A/NBP/2018,2018-12-31,3.4124,0.34
251/A/NBP/2018,2018-12-28,3.4008,0.27
250/A/NBP/2018,2018-12-27,3.3916,0.23
249/A/NBP/2018,2018-12-24,3.3839,0.23
248/A/NBP/2018,2018-12-21,3.3762,1.04
247/A/NBP/2018,2018-12-20,3.3413,-0.21
246/A/NBP/2018,2018-12-19,3.3484,-0.09
245/A/NBP/2018,2018-12-18,3.3513,0.3
244/A/NBP/2018,2018-12-17,3.3413,-0.43
243/A/NBP/2018,2018-12-14,3.3558,0.91
242/A/NBP/2018,2018-12-13,3.3257,-0.52
241/A/NBP/2018,2018-12-12,3.343,0.07
240/A/NBP/2018,2018-12-11,3.3407,0.15
239/A/NBP/2018,2018-12-10,3.3356,-0.15
238/A/NBP/2018,2018-12-07,3.3406,-0.59
237/A/NBP/2018,2018-12-06,3.3605,0.35
236/A/NBP/2018,2018-12-05,3.3489,0.67
235/A/NBP/2018,2018-12-04,3.3267,0.17
234/A/NBP/2018,2018-12-03,3.321,-0.11
233/A/NBP/2018,2018-11-30,3.3246,-0.18
232/A/NBP/2018,2018-11-29,3.3305,-0.59
231/A/NBP/2018,2018-11-28,3.3504,0.33
230/A/NBP/2018,2018-11-27,3.3395,0.29
229/A/NBP/2018,2018-11-26,3.3297,-0.55
228/A/NBP/2018,2018-11-23,3.3482,0.14
227/A/NBP/2018,2018-11-22,3.3435,-0.16
226/A/NBP/2018,2018-11-21,3.349,-0.63
225/A/NBP/2018,2018-11-20,3.3702,0.35
224/A/NBP/2018,2018-11-19,3.3586,0.56
223/A/NBP/2018,2018-11-16,3.3399,-0.52
222/A/NBP/2018,2018-11-15,3.3572,0.32
221/A/NBP/2018,2018-11-14,3.3466,-0.21
220/A/NBP/2018,2018-11-13,3.3535,0.11
219/A/NBP/2018,2018-11-12,3.3497,0.83
218/A/NBP/2018,2018-11-09,3.3222,0.44
217/A/NBP/2018,2018-11-08,3.3075,-0.01
216/A/NBP/2018,2018-11-07,3.3077,-0.95
215/A/NBP/2018,2018-11-06,3.3394,-0.21
214/A/NBP/2018,2018-11-05,3.3464,-0.18
213/A/NBP/2018,2018-11-02,3.3524,-0.72
212/A/NBP/2018,2018-10-31,3.3767,0.09
211/A/NBP/2018,2018-10-30,3.3736,-0.23
