Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,0.4428,-0.25
54/A/NBP/2019,2019-03-18,0.4439,-0.09
53/A/NBP/2019,2019-03-15,0.4443,0.27
52/A/NBP/2019,2019-03-14,0.4431,0.27
51/A/NBP/2019,2019-03-13,0.4419,0.14
50/A/NBP/2019,2019-03-12,0.4413,0.34
49/A/NBP/2019,2019-03-11,0.4398,0.57
48/A/NBP/2019,2019-03-08,0.4373,-0.41
47/A/NBP/2019,2019-03-07,0.4391,0.32
46/A/NBP/2019,2019-03-06,0.4377,-0.21
45/A/NBP/2019,2019-03-05,0.4386,-0.45
44/A/NBP/2019,2019-03-04,0.4406,-0.47
43/A/NBP/2019,2019-03-01,0.4427,-0.11
42/A/NBP/2019,2019-02-28,0.4432,-0.11
41/A/NBP/2019,2019-02-27,0.4437,0.11
40/A/NBP/2019,2019-02-26,0.4432,-0.56
39/A/NBP/2019,2019-02-25,0.4457,0.45
38/A/NBP/2019,2019-02-22,0.4437,0.2
37/A/NBP/2019,2019-02-21,0.4428,-0.58
36/A/NBP/2019,2019-02-20,0.4454,0.32
35/A/NBP/2019,2019-02-19,0.444,0.02
34/A/NBP/2019,2019-02-18,0.4439,0.34
33/A/NBP/2019,2019-02-15,0.4424,-0.54
32/A/NBP/2019,2019-02-14,0.4448,0.34
31/A/NBP/2019,2019-02-13,0.4433,0.57
30/A/NBP/2019,2019-02-12,0.4408,0.18
29/A/NBP/2019,2019-02-11,0.44,-0.2
28/A/NBP/2019,2019-02-08,0.4409,-0.38
27/A/NBP/2019,2019-02-07,0.4426,-0.02
26/A/NBP/2019,2019-02-06,0.4427,-0.07
25/A/NBP/2019,2019-02-05,0.443,0.18
24/A/NBP/2019,2019-02-04,0.4422,0.14
23/A/NBP/2019,2019-02-01,0.4416,-0.38
22/A/NBP/2019,2019-01-31,0.4433,0.25
21/A/NBP/2019,2019-01-30,0.4422,-0.11
20/A/NBP/2019,2019-01-29,0.4427,0.29
19/A/NBP/2019,2019-01-28,0.4414,-0.2
18/A/NBP/2019,2019-01-25,0.4423,0.14
17/A/NBP/2019,2019-01-24,0.4417,0.57
