Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,0.5679,0.44
54/A/NBP/2019,2019-03-18,0.5654,-0.07
53/A/NBP/2019,2019-03-15,0.5658,-0.47
52/A/NBP/2019,2019-03-14,0.5685,-0.65
51/A/NBP/2019,2019-03-13,0.5722,0.69
50/A/NBP/2019,2019-03-12,0.5683,-0.12
49/A/NBP/2019,2019-03-11,0.569,-1.1
48/A/NBP/2019,2019-03-08,0.5753,-0.14
47/A/NBP/2019,2019-03-07,0.5761,-0.38
46/A/NBP/2019,2019-03-06,0.5783,0.54
45/A/NBP/2019,2019-03-05,0.5752,0.14
44/A/NBP/2019,2019-03-04,0.5744,-0.66
43/A/NBP/2019,2019-03-01,0.5782,-0.82
42/A/NBP/2019,2019-02-28,0.583,-0.26
41/A/NBP/2019,2019-02-27,0.5845,-0.26
40/A/NBP/2019,2019-02-26,0.586,-0.2
39/A/NBP/2019,2019-02-25,0.5872,0.51
38/A/NBP/2019,2019-02-22,0.5842,-0.22
37/A/NBP/2019,2019-02-21,0.5855,0.43
36/A/NBP/2019,2019-02-20,0.583,0.57
35/A/NBP/2019,2019-02-19,0.5797,0.22
34/A/NBP/2019,2019-02-18,0.5784,0.28
33/A/NBP/2019,2019-02-15,0.5768,-0.62
32/A/NBP/2019,2019-02-14,0.5804,0.17
31/A/NBP/2019,2019-02-13,0.5794,-0.07
30/A/NBP/2019,2019-02-12,0.5798,-0.09
29/A/NBP/2019,2019-02-11,0.5803,0.47
28/A/NBP/2019,2019-02-08,0.5776,-0.26
27/A/NBP/2019,2019-02-07,0.5791,0.05
26/A/NBP/2019,2019-02-06,0.5788,0.64
25/A/NBP/2019,2019-02-05,0.5751,0.54
24/A/NBP/2019,2019-02-04,0.572,0.72
23/A/NBP/2019,2019-02-01,0.5679,1.16
22/A/NBP/2019,2019-01-31,0.5614,-0.28
21/A/NBP/2019,2019-01-30,0.563,0.55
20/A/NBP/2019,2019-01-29,0.5599,-0.28
19/A/NBP/2019,2019-01-28,0.5615,-0.39
18/A/NBP/2019,2019-01-25,0.5637,0.12
17/A/NBP/2019,2019-01-24,0.563,0.5
16/A/NBP/2019,2019-01-23,0.5602,-0.18
15/A/NBP/2019,2019-01-22,0.5612,-0.23
14/A/NBP/2019,2019-01-21,0.5625,0.07
13/A/NBP/2019,2019-01-18,0.5621,-0.04
12/A/NBP/2019,2019-01-17,0.5623,0.97
11/A/NBP/2019,2019-01-16,0.5569,-0.04
10/A/NBP/2019,2019-01-15,0.5571,0.38
9/A/NBP/2019,2019-01-14,0.555,0.6
8/A/NBP/2019,2019-01-11,0.5517,-0.16
7/A/NBP/2019,2019-01-10,0.5526,0.24
6/A/NBP/2019,2019-01-09,0.5513,0
5/A/NBP/2019,2019-01-08,0.5513,-0.05
4/A/NBP/2019,2019-01-07,0.5516,1.45
3/A/NBP/2019,2019-01-04,0.5437,0.15
2/A/NBP/2019,2019-01-03,0.5429,0.15
1/A/NBP/2019,2019-01-02,0.5421,0.07
252/A/NBP/2018,2018-12-31,0.5417,0.58
251/A/NBP/2018,2018-12-28,0.5386,-0.68
250/A/NBP/2018,2018-12-27,0.5423,0.06
249/A/NBP/2018,2018-12-24,0.542,-0.17
248/A/NBP/2018,2018-12-21,0.5429,0.46
247/A/NBP/2018,2018-12-20,0.5404,-0.88
246/A/NBP/2018,2018-12-19,0.5452,-0.38
245/A/NBP/2018,2018-12-18,0.5473,-1.19
244/A/NBP/2018,2018-12-17,0.5539,-0.81
243/A/NBP/2018,2018-12-14,0.5584,0.34
242/A/NBP/2018,2018-12-13,0.5565,0.29
241/A/NBP/2018,2018-12-12,0.5549,-0.32
240/A/NBP/2018,2018-12-11,0.5567,-0.09
239/A/NBP/2018,2018-12-10,0.5572,-0.14
238/A/NBP/2018,2018-12-07,0.558,-0.82
237/A/NBP/2018,2018-12-06,0.5626,-0.27
236/A/NBP/2018,2018-12-05,0.5641,0.62
235/A/NBP/2018,2018-12-04,0.5606,-0.05
234/A/NBP/2018,2018-12-03,0.5609,-0.32
233/A/NBP/2018,2018-11-30,0.5627,0.66
232/A/NBP/2018,2018-11-29,0.559,-0.94
231/A/NBP/2018,2018-11-28,0.5643,0.64
230/A/NBP/2018,2018-11-27,0.5607,0.34
229/A/NBP/2018,2018-11-26,0.5588,-1.13
228/A/NBP/2018,2018-11-23,0.5652,-0.25
227/A/NBP/2018,2018-11-22,0.5666,0.6
226/A/NBP/2018,2018-11-21,0.5632,-0.49
225/A/NBP/2018,2018-11-20,0.566,0.19
224/A/NBP/2018,2018-11-19,0.5649,0.46
223/A/NBP/2018,2018-11-16,0.5623,0.79
222/A/NBP/2018,2018-11-15,0.5579,1.22
221/A/NBP/2018,2018-11-14,0.5512,-0.97
220/A/NBP/2018,2018-11-13,0.5566,-0.2
219/A/NBP/2018,2018-11-12,0.5577,-0.11
218/A/NBP/2018,2018-11-09,0.5583,0.29
217/A/NBP/2018,2018-11-08,0.5567,1.29
216/A/NBP/2018,2018-11-07,0.5496,-1.22
215/A/NBP/2018,2018-11-06,0.5564,0.67
214/A/NBP/2018,2018-11-05,0.5527,0.66
213/A/NBP/2018,2018-11-02,0.5491,-0.33
212/A/NBP/2018,2018-10-31,0.5509,0.36
211/A/NBP/2018,2018-10-30,0.5489,-0.49
210/A/NBP/2018,2018-10-29,0.5516,0.02
209/A/NBP/2018,2018-10-26,0.5515,0.77
208/A/NBP/2018,2018-10-25,0.5473,-0.96
207/A/NBP/2018,2018-10-24,0.5526,0.58
206/A/NBP/2018,2018-10-23,0.5494,0.22
205/A/NBP/2018,2018-10-22,0.5482,-1.4
204/A/NBP/2018,2018-10-19,0.556,0.42
203/A/NBP/2018,2018-10-18,0.5537,-0.16
202/A/NBP/2018,2018-10-17,0.5546,1.28
201/A/NBP/2018,2018-10-16,0.5476,0.35
200/A/NBP/2018,2018-10-15,0.5457,0.44
199/A/NBP/2018,2018-10-12,0.5433,-0.02
198/A/NBP/2018,2018-10-11,0.5434,-1.38
197/A/NBP/2018,2018-10-10,0.551,-0.56
196/A/NBP/2018,2018-10-09,0.5541,-0.31
195/A/NBP/2018,2018-10-08,0.5558,0.04
194/A/NBP/2018,2018-10-05,0.5556,-1.68
193/A/NBP/2018,2018-10-04,0.5651,0.75
192/A/NBP/2018,2018-10-03,0.5609,-1.01
191/A/NBP/2018,2018-10-02,0.5666,1.09
190/A/NBP/2018,2018-10-01,0.5605,0.61
189/A/NBP/2018,2018-09-28,0.5571,1.03
188/A/NBP/2018,2018-09-27,0.5514,0.92
187/A/NBP/2018,2018-09-26,0.5464,0.76
186/A/NBP/2018,2018-09-25,0.5423,-1.26
185/A/NBP/2018,2018-09-24,0.5492,0.64
184/A/NBP/2018,2018-09-21,0.5457,1.07
183/A/NBP/2018,2018-09-20,0.5399,0.65
182/A/NBP/2018,2018-09-19,0.5364,-0.02
181/A/NBP/2018,2018-09-18,0.5365,-0.04
180/A/NBP/2018,2018-09-17,0.5367,-0.57
179/A/NBP/2018,2018-09-14,0.5398,0.2
178/A/NBP/2018,2018-09-13,0.5387,0.92
177/A/NBP/2018,2018-09-12,0.5338,0.23
176/A/NBP/2018,2018-09-11,0.5326,-1.3
175/A/NBP/2018,2018-09-10,0.5396,0.15
174/A/NBP/2018,2018-09-07,0.5388,-0.48
173/A/NBP/2018,2018-09-06,0.5414,0.37
172/A/NBP/2018,2018-09-05,0.5394,-1.05
171/A/NBP/2018,2018-09-04,0.5451,0.44
170/A/NBP/2018,2018-09-03,0.5427,0.18
169/A/NBP/2018,2018-08-31,0.5417,-1.49
168/A/NBP/2018,2018-08-30,0.5499,-0.79
