Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,0.9974,0.52
54/A/NBP/2019,2019-03-18,0.9922,0.29
53/A/NBP/2019,2019-03-15,0.9893,-0.74
52/A/NBP/2019,2019-03-14,0.9967,-0.19
51/A/NBP/2019,2019-03-13,0.9986,0.56
50/A/NBP/2019,2019-03-12,0.993,0.53
49/A/NBP/2019,2019-03-11,0.9878,-0.45
48/A/NBP/2019,2019-03-08,0.9923,0.18
47/A/NBP/2019,2019-03-07,0.9905,-1.69
46/A/NBP/2019,2019-03-06,1.0075,0.16
45/A/NBP/2019,2019-03-05,1.0059,0.2
44/A/NBP/2019,2019-03-04,1.0039,-0.69
43/A/NBP/2019,2019-03-01,1.0109,-0.42
42/A/NBP/2019,2019-02-28,1.0152,0.46
41/A/NBP/2019,2019-02-27,1.0106,-0.55
40/A/NBP/2019,2019-02-26,1.0162,-0.41
39/A/NBP/2019,2019-02-25,1.0204,0.54
38/A/NBP/2019,2019-02-22,1.0149,-1.14
37/A/NBP/2019,2019-02-21,1.0266,0.03
36/A/NBP/2019,2019-02-20,1.0263,0.01
35/A/NBP/2019,2019-02-19,1.0262,-0.8
34/A/NBP/2019,2019-02-18,1.0345,0.5
33/A/NBP/2019,2019-02-15,1.0294,0.34
32/A/NBP/2019,2019-02-14,1.0259,-0.53
31/A/NBP/2019,2019-02-13,1.0314,0.98
30/A/NBP/2019,2019-02-12,1.0214,-0.19
29/A/NBP/2019,2019-02-11,1.0233,-0.02
28/A/NBP/2019,2019-02-08,1.0235,-0.18
27/A/NBP/2019,2019-02-07,1.0253,-0.21
26/A/NBP/2019,2019-02-06,1.0275,0.44
25/A/NBP/2019,2019-02-05,1.023,0.09
24/A/NBP/2019,2019-02-04,1.0221,0.05
23/A/NBP/2019,2019-02-01,1.0216,1.01
22/A/NBP/2019,2019-01-31,1.0114,0.14
21/A/NBP/2019,2019-01-30,1.01,1.15
20/A/NBP/2019,2019-01-29,0.9985,0.16
19/A/NBP/2019,2019-01-28,0.9969,-0.72
18/A/NBP/2019,2019-01-25,1.0041,-0.07
17/A/NBP/2019,2019-01-24,1.0048,1.56
16/A/NBP/2019,2019-01-23,0.9894,-1.52
15/A/NBP/2019,2019-01-22,1.0047,-0.15
14/A/NBP/2019,2019-01-21,1.0062,0.11
13/A/NBP/2019,2019-01-18,1.0051,-0.15
12/A/NBP/2019,2019-01-17,1.0066,-0.53
11/A/NBP/2019,2019-01-16,1.012,-0.27
10/A/NBP/2019,2019-01-15,1.0147,0.54
9/A/NBP/2019,2019-01-14,1.0093,0.43
8/A/NBP/2019,2019-01-11,1.005,-0.99
