Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,0.9277,-0.12
54/A/NBP/2019,2019-03-18,0.9288,-0.02
53/A/NBP/2019,2019-03-15,0.929,-0.02
52/A/NBP/2019,2019-03-14,0.9292,-0.23
51/A/NBP/2019,2019-03-13,0.9313,-0.21
50/A/NBP/2019,2019-03-12,0.9333,-0.09
49/A/NBP/2019,2019-03-11,0.9341,-0.51
48/A/NBP/2019,2019-03-08,0.9389,0.9
47/A/NBP/2019,2019-03-07,0.9305,0.03
46/A/NBP/2019,2019-03-06,0.9302,-0.16
45/A/NBP/2019,2019-03-05,0.9317,0.2
44/A/NBP/2019,2019-03-04,0.9298,-0.1
43/A/NBP/2019,2019-03-01,0.9307,-0.01
42/A/NBP/2019,2019-02-28,0.9308,-0.1
41/A/NBP/2019,2019-02-27,0.9317,-0.5
40/A/NBP/2019,2019-02-26,0.9364,-0.4
39/A/NBP/2019,2019-02-25,0.9402,0.28
38/A/NBP/2019,2019-02-22,0.9376,-0.02
37/A/NBP/2019,2019-02-21,0.9378,-0.21
36/A/NBP/2019,2019-02-20,0.9398,0.1
35/A/NBP/2019,2019-02-19,0.9389,0.19
34/A/NBP/2019,2019-02-18,0.9371,-0.03
33/A/NBP/2019,2019-02-15,0.9374,-0.79
32/A/NBP/2019,2019-02-14,0.9449,0.44
31/A/NBP/2019,2019-02-13,0.9408,-0.02
30/A/NBP/2019,2019-02-12,0.941,0.34
29/A/NBP/2019,2019-02-11,0.9378,0.33
28/A/NBP/2019,2019-02-08,0.9347,0.42
27/A/NBP/2019,2019-02-07,0.9308,1.05
26/A/NBP/2019,2019-02-06,0.9211,0.46
25/A/NBP/2019,2019-02-05,0.9169,0.34
24/A/NBP/2019,2019-02-04,0.9138,0.51
23/A/NBP/2019,2019-02-01,0.9092,-0.09
22/A/NBP/2019,2019-01-31,0.91,-0.54
21/A/NBP/2019,2019-01-30,0.9149,0.15
20/A/NBP/2019,2019-01-29,0.9135,-0.12
19/A/NBP/2019,2019-01-28,0.9146,-0.42
18/A/NBP/2019,2019-01-25,0.9185,0.56
17/A/NBP/2019,2019-01-24,0.9134,0.12
16/A/NBP/2019,2019-01-23,0.9123,-0.07
15/A/NBP/2019,2019-01-22,0.9129,-0.54
14/A/NBP/2019,2019-01-21,0.9179,0.14
13/A/NBP/2019,2019-01-18,0.9166,0.24
12/A/NBP/2019,2019-01-17,0.9144,-0.1
11/A/NBP/2019,2019-01-16,0.9153,0.1
10/A/NBP/2019,2019-01-15,0.9144,0.08
9/A/NBP/2019,2019-01-14,0.9137,0.36
8/A/NBP/2019,2019-01-11,0.9104,-0.15
