Tabela,Data,Kurs średni,Zmiana
55/A/NBP/2019,2019-03-19,0.0588,0.34
54/A/NBP/2019,2019-03-18,0.0586,0.69
53/A/NBP/2019,2019-03-15,0.0582,0
52/A/NBP/2019,2019-03-14,0.0582,0.17
51/A/NBP/2019,2019-03-13,0.0581,0.17
50/A/NBP/2019,2019-03-12,0.058,0.17
49/A/NBP/2019,2019-03-11,0.0579,0
48/A/NBP/2019,2019-03-08,0.0579,0.35
47/A/NBP/2019,2019-03-07,0.0577,-0.17
46/A/NBP/2019,2019-03-06,0.0578,0
45/A/NBP/2019,2019-03-05,0.0578,0.35
44/A/NBP/2019,2019-03-04,0.0576,0
43/A/NBP/2019,2019-03-01,0.0576,0.17
42/A/NBP/2019,2019-02-28,0.0575,-0.17
41/A/NBP/2019,2019-02-27,0.0576,-0.86
40/A/NBP/2019,2019-02-26,0.0581,-0.85
39/A/NBP/2019,2019-02-25,0.0586,0.34
38/A/NBP/2019,2019-02-22,0.0584,0
37/A/NBP/2019,2019-02-21,0.0584,0.52
36/A/NBP/2019,2019-02-20,0.0581,0.35
35/A/NBP/2019,2019-02-19,0.0579,0.17
34/A/NBP/2019,2019-02-18,0.0578,0.52
33/A/NBP/2019,2019-02-15,0.0575,-0.35
32/A/NBP/2019,2019-02-14,0.0577,-0.86
31/A/NBP/2019,2019-02-13,0.0582,-0.34
30/A/NBP/2019,2019-02-12,0.0584,0.52
29/A/NBP/2019,2019-02-11,0.0581,0.87
28/A/NBP/2019,2019-02-08,0.0576,0.35
27/A/NBP/2019,2019-02-07,0.0574,0
26/A/NBP/2019,2019-02-06,0.0574,0.17
25/A/NBP/2019,2019-02-05,0.0573,0.53
24/A/NBP/2019,2019-02-04,0.057,0.35
23/A/NBP/2019,2019-02-01,0.0568,-0.7
22/A/NBP/2019,2019-01-31,0.0572,0.53
21/A/NBP/2019,2019-01-30,0.0569,0.53
20/A/NBP/2019,2019-01-29,0.0566,-0.7
19/A/NBP/2019,2019-01-28,0.057,-0.52
18/A/NBP/2019,2019-01-25,0.0573,-0.17
17/A/NBP/2019,2019-01-24,0.0574,0.7
16/A/NBP/2019,2019-01-23,0.057,0.53
15/A/NBP/2019,2019-01-22,0.0567,-0.35
14/A/NBP/2019,2019-01-21,0.0569,0.35
